Verb_Noun_Pair,Category,Tier,Domain
accelerate impact,Operator,2,Systems & Process
accelerate opportunity,Operator,2,Systems & Process
achieve goal,Operator,2,Systems & Process
achieve more,Operator,2,Systems & Process
achieve result,Operator,2,Systems & Process
achieve success,Operator,2,Systems & Process
achieve what,Operator,4,Alignment & Stakeholders
add value,Operator,2,Systems & Process
address need,Operator,3,Alignment & Stakeholders
adopt practice,Operator,2,Systems & Process
align team,Operator,2,Alignment & Stakeholders
analyze performance,Operator,2,Systems & Process
anticipate need,Operator,1,Systems & Process
architect solution,Operator,1,Systems & Process
assess performance,Operator,2,Systems & Process
balance need,Operator,2,Systems & Process
balance priority,Operator,2,Risk & Execution
balance speed,Operator,2,Systems & Process
build consensus,Operator,2,Alignment & Stakeholders
build platform,Operator,1,Systems & Process
build process,Operator,2,Systems & Process
build tool,Operator,2,Systems & Process
build trust,Operator,2,Alignment & Stakeholders
change plan,Operator,3,Systems & Process
communicate status,Operator,3,Alignment & Stakeholders
coordinate experiment,Operator,3,Systems & Process
coordinate program,Operator,3,Risk & Execution
coordinate schedule,Operator,3,Alignment & Stakeholders
create culture,Operator,1,Systems & Process
create opportunity,Operator,2,Systems & Process
create playbook,Operator,2,Systems & Process
create product,Operator,2,Risk & Execution
create prototype,Operator,2,Systems & Process
create report,Operator,3,Systems & Process
create value,Operator,2,Risk & Execution
deliver dashboard,Operator,3,Systems & Process
deliver impact,Operator,2,Systems & Process
deliver improvement,Operator,2,Systems & Process
deliver initiative,Operator,2,Systems & Process
deliver program,Operator,2,Systems & Process
deliver result,Operator,2,Systems & Process
deliver standard,Operator,3,Systems & Process
design experience,Operator,2,Systems & Process
develop collateral,Operator,3,Systems & Process
develop plan,Operator,2,Risk & Execution
develop process,Operator,2,Systems & Process
develop product,Operator,2,Systems & Process
develop solution,Operator,2,Systems & Process
develop system,Operator,2,Systems & Process
drive accountability,Operator,2,Alignment & Stakeholders
drive automation,Operator,2,Systems & Process
drive clarity,Operator,2,Systems & Process
drive delivery,Operator,2,Systems & Process
drive efficiency,Operator,2,Systems & Process
drive excellence,Operator,2,Systems & Process
drive experience,Operator,2,Systems & Process
drive improvement,Operator,2,Systems & Process
drive momentum,Operator,2,Systems & Process
drive program,Operator,2,Systems & Process
drive project,Operator,2,Risk & Execution
embody culture,Operator,2,Alignment & Stakeholders
empower other,Operator,2,Alignment & Stakeholders
empower person,Operator,2,Alignment & Stakeholders
empower they,Operator,2,Systems & Process
empower world,Operator,1,Systems & Process
empower you,Operator,2,Systems & Process
enable experience,Operator,2,Systems & Process
energize team,Operator,2,Alignment & Stakeholders
enhance efficiency,Operator,2,Systems & Process
enhance impact,Operator,2,Systems & Process
enhance productivity,Operator,2,Systems & Process
evaluate risk,Operator,2,Risk & Execution
evolve environment,Operator,1,Systems & Process
execute initiative,Operator,2,Systems & Process
grow revenue,Operator,2,Risk & Execution
guide strategy,Operator,1,Systems & Process
hire decision,Operator,2,Risk & Execution
hire Manager,Operator,2,Alignment & Stakeholders
identify issue,Operator,3,Risk & Execution
identify project,Operator,3,Risk & Execution
identify risk,Operator,2,Risk & Execution
impact chain,Operator,2,Systems & Process
implement solution,Operator,2,Systems & Process
improve efficiency,Operator,2,Systems & Process
improve experience,Operator,2,Systems & Process
improve performance,Operator,2,Systems & Process
improve workflow,Operator,2,Systems & Process
increase gdp,Operator,1,Systems & Process
influence making,Operator,2,Alignment & Stakeholders
influence roadmap,Operator,1,Alignment & Stakeholders
inform strategy,Operator,1,Systems & Process
involve capability,Operator,3,Systems & Process
involve system,Operator,3,Systems & Process
lead creation,Operator,2,Systems & Process
lead discussion,Operator,3,Systems & Process
lead program,Operator,2,Systems & Process
lead project,Operator,2,Systems & Process
leverage expertise,Operator,2,Systems & Process
leverage skill,Operator,2,Systems & Process
manage delivery,Operator,2,Systems & Process
manage dependency,Operator,3,Alignment & Stakeholders
