Verb_Noun_Pair,Category,Tier,Domain
abstract complexity,Builder,1,Strategy & Vision
accelerate computing,Builder,1,Product & Tech
accelerate development,Builder,2,Product & Tech
accept application,Builder,2,Product & Tech
accomplish this,Builder,3,Product & Tech
achieve success,Builder,1,Strategy & Vision
achieve what,Builder,3,Strategy & Vision
address gap,Builder,2,Strategy & Vision
adopt technology,Builder,2,Strategy & Vision
advance career,Builder,1,People & Culture
advance goal,Builder,1,Strategy & Vision
align stakeholder,Builder,1,Strategy & Vision
align team,Builder,2,People & Culture
analyze metric,Builder,2,Product & Tech
answer question,Builder,3,People & Culture
approach diversity,Builder,2,People & Culture
articulate vision,Builder,1,Strategy & Vision
ask question,Builder,3,Product & Tech
balance need,Builder,2,Strategy & Vision
blend vision,Builder,2,People & Culture
build consensus,Builder,2,People & Culture
build experience,Builder,2,Product & Tech
build future,Builder,1,Strategy & Vision
build generation,Builder,1,Product & Tech
build partnership,Builder,2,Product & Tech
build platform,Builder,1,Product & Tech
build process,Builder,2,People & Culture
build program,Builder,2,Product & Tech
build roadmap,Builder,1,Strategy & Vision
build software,Builder,2,Product & Tech
build technology,Builder,3,Product & Tech
build tool,Builder,2,Product & Tech
celebrate difference,Builder,2,People & Culture
celebrate diversity,Builder,1,People & Culture
change contexts,Builder,1,Product & Tech
change plan,Builder,3,Strategy & Vision
change world,Builder,3,Strategy & Vision
combine autonomy,Builder,3,People & Culture
complete process,Builder,2,Product & Tech
connect doc,Builder,3,Product & Tech
connect dot,Builder,2,Strategy & Vision
craft solution,Builder,2,Product & Tech
create clarity,Builder,2,Strategy & Vision
create content,Builder,2,Product & Tech
create experience,Builder,2,Strategy & Vision
create mechanism,Builder,2,Product & Tech
create product,Builder,2,Product & Tech
create program,Builder,2,Product & Tech
create strategy,Builder,1,Strategy & Vision
create tool,Builder,3,Product & Tech
create value,Builder,1,Product & Tech
cultivate culture,Builder,2,People & Culture
define architecture,Builder,2,Strategy & Vision
define metric,Builder,2,Product & Tech
define roadmap,Builder,3,Strategy & Vision
define strategy,Builder,1,Strategy & Vision
define vision,Builder,1,Product & Tech
delight user,Builder,2,Product & Tech
